latitude,longitude,osm_id,name,subdistrict,district,state,country
72.55100129947783,23.045506199707788,436106992,Memnagar Fire Station,Sabarmati,Ahmadabad,Gujarat,India
72.86399089951745,22.69140860003297,1740713596, ,Nadiad,Kheda,Gujarat,India
73.79385000022269,15.53315999968285,4283890198,Pilerne,Bardez,Goa,Goa,India
73.808770000199,15.589840999612841,4283907091,Mapusa,Bardez,Goa,Goa,India
73.82003999964886,15.39976599983774,4283907393, ,Mormugao,Goa,Goa,India
73.97030330017964,15.269329600238285,4269710993,Margao Fire Station,Salcete,Goa,Goa,India
73.9355299997233,15.369550000193772,4283907394,Verna IDC fire Station,Salcete,Goa,Goa,India
73.81914730063193,15.494651599967568,6122945885,dany place,Tiswadi,Goa,Goa,India
74.26249070032146,17.05685909954152,4376875895,Islampur agnishaman,Walwa,Sangli,Maharashtra,India
72.89351990002378,19.054524800100474,2311428475,Chembur Fire Station,Mumbai Suburban,Mumbai Suburban,Maharashtra,India
72.86104100010934,19.175082000150017,2429102988,Gorgaon Fire Station,Mumbai Suburban,Mumbai Suburban,Maharashtra,India
72.87223860073719,19.280593900250963,5255263122, ,Thane,Thane,Maharashtra,India
73.13166700086914,19.068187399915722,3761594600, ,Panvel,Raigad,Maharashtra,India
73.09923109971412,19.03927860000213,5102719433,Tawa Delight,Panvel,Raigad,Maharashtra,India
72.83464170040845,18.93507349936024,2168679530,Fort Fire Brigade,Mumbai,Mumbai,Maharashtra,India
72.85388689983162,19.039624099302323,2187315849,Testing Fire Station,Mumbai,Mumbai,Maharashtra,India
73.81347970014701,18.498889399993327,2192111450,Kothrud Fire Station,Haveli,Pune,Maharashtra,India
73.79649360017002,18.460236699745845,4204725189,Nanded City Fire Station,Haveli,Pune,Maharashtra,India
72.82746909932746,19.405670499584716,4689269189, ,Vasai,Palghar,Maharashtra,India
72.82785310036535,19.40570200067152,4821972821, ,Vasai,Palghar,Maharashtra,India
75.32173960057897,19.862430100051192,3242344367,fire station,Aurangabad,Aurangabad,Maharashtra,India
72.82116179954558,21.199815199883485,2629372542,Fire Station,Majura,Surat,Gujarat,India
79.08033619959684,21.107274999823744,4984615984,Fire station,Nagpur Urban,Nagpur,Maharashtra,India
79.08068170063827,21.107116699676848,6983064785,Narendra Nagar Fire Station,Nagpur Urban,Nagpur,Maharashtra,India
79.29483750058056,19.962083000254008,4376877994,CMC fire station,Chandrapur,Chandrapur,Maharashtra,India
72.62456429946681,22.983402900351585,4637012558,Jashodanagar Fire Station,Sabarmati,Ahmadabad,Gujarat,India
73.2016377000207,22.3001135006188,2344004347, ,Vadodara Rural,Vadodara,Gujarat,India
72.39022929924262,23.606509600097738,4496283273,Mehsana Muncipalty fire cantrol room,Mahesana,Mahesana,Gujarat,India
72.8519209000014,19.292597999773534,7486324686,Mira Bhayander Mahanagarpalika Fire Bridage and Emergency centre,Thane,Thane,Maharashtra,India
72.84120910019433,19.033117900515595,9024751917, ,Mumbai,Mumbai,Maharashtra,India
73.71606769958247,18.62201100053805,8585616661,Life Republic Fire Station,Mulshi,Pune,Maharashtra,India
74.64798659950495,19.39412620004608,8949470739, ,Rahuri,Ahmednagar,Maharashtra,India
76.04530839995104,20.018417800705812,8316131973, ,Deolgaon Raja,Buldhana,Maharashtra,India
74.30929449957416,35.92299380002546,4361264368, ,Data Not Available,Leh Ladakh,Ladakh,India
